zipcode,centile,superzip,rank,city.x,state.x,adultpop,households,college,income,latitude,longitude,city.y,state.y,county
21054,86.61111,0,1972,Gambrills,MD,4694,1902,32.21133,111.282,39.0485058959898,-76.6409127879498,Gambrills,MD,Anne Arundel
10509,86.61584,0,1971,Brewster,NY,12530,5008,35.69034,105.3403,41.4165471612007,-73.7367805963655,Brewster,NY,Putnam
07852,86.64095,0,1965,Ledgewood,NJ,2006,707,36.44068,104.0719,40.8632326790728,-74.7281891229028,Ledgewood,NJ,Morris
12903,86.64151,0,,Plattsburgh,NY,34,11,61.76471,60.4765,44.6842043187047,-73.432078902306,Plattsburgh,NY,Clinton
48118,86.65702,0,1962,Chelsea,MI,8082,3170,38.31972,100.9166,42.315284943603,-84.0220793839397,Chelsea,MI,Washtenaw
11762,86.6755,0,1959,Massapequa Park,NY,16751,6871,31.84288,112.1515,40.7554290793173,-73.5918243545966,Massapequa Park,NY,Nassau
95060,86.70133,0,1957,Santa Cruz,CA,28640,8957,44.72416,89.96811,37.0521994527079,-122.115250223599,Santa Cruz,CA,Santa Cruz
99338,86.71053,0,1956,Kennewick,WA,4876,2252,39.5201,98.95263,46.1554019520237,-119.263696399228,Kennewick,WA,Benton
05403,86.75679,0,1949,South Burlington,VT,10246,3748,45.89108,88.16885,44.4473571976498,-73.1059752545935,South Burlington,VT,Chittenden
80228,86.76527,0,1948,Denver,CO,20650,8256,43.9661,91.48885,39.6878362353374,-105.162267544273,Denver,CO,Jefferson
77346,86.77838,0,1946,Humble,TX,17212,8031,37.10783,103.3632,29.8356262824775,-95.4262201864511,Humble,TX,Harris
84112,86.78317,0,,Salt Lake City,UT,251,52,82.86853,24.5175,40.7649819987484,-111.843150252502,Salt Lake City,UT,Salt Lake
92646,86.8022,0,1943,Huntington Beach,CA,39916,15316,36.50416,104.4537,33.6407073925397,-117.764132299304,Huntington Beach,CA,Orange
70817,86.84998,0,1937,Baton Rouge,LA,17496,7934,41.34088,96.27728,30.3836826833508,-90.9741364377081,Baton Rouge,LA,East Baton Rouge
83012,86.85487,0,,Moose,WY,307,98,52.443,77.1484,43.5501708091746,-110.763563798367,Moose,WY,Teton
94116,86.91599,0,1930,San Francisco,CA,31927,10270,41.72017,95.8157,37.7437536679676,-122.463290579482,San Francisco,CA,San Francisco
11001,86.92962,0,1929,Floral Park,NY,17715,6863,34.62038,108.0954,40.7205198681243,-73.7059644761236,Floral Park,NY,Nassau
78260,86.97014,0,1924,San Antonio,TX,1743,773,35.51348,106.7943,29.4395009255049,-98.4511636625003,San Antonio,TX,Bexar
84109,86.97473,0,1923,Salt Lake City,UT,14998,6084,47.453,86.27545,40.7054576900789,-111.75538139842,Salt Lake City,UT,Salt Lake
90505,87.00192,0,1921,Torrance,CA,24653,9432,41.5203,96.54403,33.7871865824549,-118.287669840892,Torrance,CA,Los Angeles
94945,87.04028,0,1916,Novato,CA,11622,4517,37.89365,102.8375,38.0287443150234,-122.547401403491,Novato,CA,Marin
28105,87.04919,0,1915,Matthews,NC,20841,8874,41.64867,96.40673,35.1141613976275,-80.7128389913157,Matthews,NC,Mecklenburg
21104,87.08032,0,1910,Marriottsville,MD,2531,1170,34.72936,108.4367,39.378892204154,-76.8977923577102,Marriottsville,MD,Carroll
91765,87.08923,0,1909,Diamond Bar,CA,29899,12361,42.34255,95.34235,33.7882044815286,-118.29269167358,Diamond Bar,CA,Los Angeles
96145,87.13887,0,1901,Tahoe City,CA,3005,862,44.82529,91.3594,39.165190446604,-120.149245152971,Tahoe City,CA,Placer
83354,87.15489,0,,Sun Valley,ID,84,27,67.85714,51.75873,43.5946208354697,-114.333780340966,Sun Valley,ID,Blaine
80005,87.15945,0,1899,Arvada,CO,16555,7080,37.54757,104.0026,39.8564774687015,-105.12092198363,Arvada,CO,Jefferson
